cultivo_id,tipo_suelo_id,temperatura,humedad,ph,nitrogeno,fosforo,potasio,materia_organica,conductividad_electrica,fertilizante_codigo,cantidad_kg
7.0,4.0,11.33,70.74,6.45,64.3,3.78,137.99,1.007,0.544,DAP-18-46,178.7
12.0,1.0,22.9,37.57,5.81,24.54,18.33,227.82,2.305,1.346,DAP-18-46,107.0
3.0,7.0,14.4,82.05,6.46,30.03,6.65,179.56,6.501,0.449,DAP-18-46,199.4
2.0,6.0,34.67,86.49,6.4,116.39,4.29,53.34,1.291,2.647,KCL-60,171.4
12.0,4.0,11.22,67.42,6.72,66.67,41.26,130.12,0.808,2.983,DAP-18-46,193.5
2.0,1.0,16.93,57.61,7.26,46.1,56.44,173.94,3.623,2.146,UREA-46,184.2
7.0,3.0,5.0,79.79,6.28,23.6,22.1,208.57,1.821,2.113,DAP-18-46,134.3
7.0,3.0,22.23,71.5,4.88,18.92,19.0,68.1,5.87,0.588,DAP-18-46,118.3
9.0,7.0,16.45,73.3,4.99,12.1,29.93,167.73,1.285,0.42,UREA-46,125.2
8.0,1.0,14.02,62.36,5.44,53.56,34.82,173.27,1.558,1.509,DAP-18-46,202.1
5.0,4.0,29.79,30.08,5.51,29.3,11.52,292.11,10.749,0.763,DAP-18-46,222.5
1.0,1.0,12.06,54.81,6.29,52.76,1.0,185.49,3.09,0.287,NPK-15-15-15,322.7
7.0,2.0,20.89,81.68,5.45,44.57,32.87,138.2,10.567,1.09,NPK-15-15-15,215.2
1.0,8.0,18.38,74.03,6.07,23.98,35.46,188.46,1.796,3.281,UREA-46,227.6
1.0,8.0,21.92,84.85,4.54,128.47,92.96,92.48,2.162,0.892,KCL-60,298.9
4.0,1.0,17.97,58.1,5.78,58.97,38.16,30.0,2.277,1.517,KCL-60,150.1
6.0,6.0,23.27,60.69,7.29,40.63,22.28,177.24,3.704,0.494,DAP-18-46,103.6
1.0,8.0,17.26,78.33,5.79,33.34,49.84,138.96,2.534,4.127,UREA-46,204.4
8.0,6.0,19.39,50.44,7.15,64.26,31.97,290.56,1.369,2.486,DAP-18-46,221.5
9.0,8.0,18.14,80.69,7.49,52.03,35.96,194.09,1.531,0.706,DAP-18-46,114.1
7.0,7.0,17.76,55.38,4.59,47.53,3.1,153.21,2.347,2.204,DAP-18-46,132.4
5.0,7.0,32.33,95.0,7.43,163.09,26.3,129.71,1.29,0.867,DAP-18-46,111.8
5.0,2.0,13.37,94.9,5.9,19.93,27.76,281.31,1.321,4.647,NPK-15-15-15,334.5
5.0,6.0,10.9,69.12,5.89,9.78,9.57,227.99,1.563,0.937,DAP-18-46,197.5
10.0,2.0,18.01,78.61,7.94,50.34,80.53,222.51,3.327,1.278,UREA-46,119.3
3.0,3.0,17.09,75.59,6.45,9.84,12.84,247.97,0.814,1.79,UREA-46,194.3
8.0,4.0,20.69,63.58,4.2,50.57,24.6,210.62,1.219,1.303,HUMUS-ORG,4601.3
5.0,4.0,27.32,57.09,5.83,104.45,21.02,255.93,6.147,0.739,DAP-18-46,101.6
9.0,3.0,16.37,53.96,7.92,39.13,17.29,84.27,3.99,2.352,MAP-12-61,159.0
5.0,2.0,28.88,72.28,6.28,83.34,17.37,71.46,6.062,0.238,KCL-60,202.7
6.0,3.0,24.36,69.27,5.91,107.6,31.38,103.65,2.143,0.712,KNO3-13-46,120.5
10.0,2.0,13.65,31.24,5.68,36.44,40.71,222.88,3.909,1.714,UREA-46,135.6
9.0,7.0,12.92,64.19,4.0,80.52,94.61,227.93,0.611,3.878,HUMUS-ORG,4757.3
4.0,3.0,15.17,68.91,5.78,21.17,139.31,302.07,3.84,3.702,UREA-46,243.8
8.0,6.0,31.14,50.45,5.44,31.93,13.62,192.03,9.662,6.426,DAP-18-46,204.7
1.0,1.0,23.7,54.62,5.39,109.19,44.26,326.52,7.248,3.016,KNO3-13-46,54.5
7.0,8.0,25.08,56.55,4.66,156.92,50.8,279.03,1.84,0.479,KNO3-13-46,55.6
6.0,4.0,18.03,65.85,5.79,37.07,8.82,221.16,1.149,1.671,NPK-10-26-26,192.7
12.0,7.0,19.99,51.53,7.6,39.95,58.98,320.43,5.732,0.775,UREA-46,120.1
7.0,7.0,21.56,86.83,6.38,47.72,27.7,189.31,3.74,1.189,DAP-18-46,167.6
12.0,6.0,23.89,70.95,6.19,25.93,20.35,212.25,1.497,1.505,DAP-18-46,136.0
3.0,7.0,11.39,73.78,6.87,34.24,31.19,141.95,0.604,0.278,DAP-18-46,141.8
